level,kode_lengkap,nama_item,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.083,Alat Penghancur Plastik,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.084,Proteksi Petir Terpadu,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.085,Pakaian Toga,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.086,Sirine,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.087,Tongkal Pedel,,,,,,,,,,,,,,,,,,,,,,,
5,1.3.2.05.02,ALAT RUMAH TANGGA,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.02.01,MEUBELAIR,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.001,Meja Kerja Besi/Metal,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.002,Meja Kerja Kayu,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.003,Kursi Besi/Metal,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.004,Kursi Kayu,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.005,Sice,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.006,Bangku Panjang Besi/Metal,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.007,Bangku Panjang Kayu,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.008,Meja Rapat,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.009,Tempat Tidur Besi,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.010,Tempat Tidur Kayu,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.011,Meja Ketik,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.012,Meja Telepon,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.013,Meja Podium,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.014,Meja Resepsionis,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.015,Meja Marmer,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.016,Meja Tambahan,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.017,Meja Panjang,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.018,Meja Bundar,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.019,Meja Periksa Pasien,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.020,Meja Obat,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.021,Meja Kartu,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.022,Meja Bayi,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.023,Meja Sekolah,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.02.01.024,Meja 1/2 Biro,,,,,,,,,,,,,,,,,,,,,,,
